:START_ID,:END_ID,:TYPE
p0000001,v0000001,Value
p0000002,v0000001,Value
p0000001,v0000002,Value
p0000002,v0000002,Value
p0000001,v0000003,Value
p0000002,v0000003,Value
p0000002,v0000004,Value
p0000001,v0000004,Value
p0000001,v0000005,Value
p0000002,v0000005,Value
p0000001,v0000006,Value
p0000002,v0000006,Value
p0000002,v0000007,Value
p0000001,v0000007,Value
p0000002,v0000008,Value
p0000001,v0000008,Value
p0000002,v0000009,Value
p0000001,v0000009,Value
p0000002,v0000010,Value
p0000001,v0000010,Value
p0000001,v0000011,Value
p0000001,v0000012,Value
p0000003,v0000013,Value
