:START_ID,:END_ID,:TYPE
p0000002,v0000004,Value
p0000001,v0000008,Value
p0000005,v0000009,Value
p0000001,v0000011,Value
p0000002,v0000012,Value
p0000009,v0000037,Value
p0000002,v0000038,Value
p0000013,v0000039,Value
p0000009,v0000040,Value
p0000005,v0000077,Value
p0000001,v0000077,Value
p0000001,v0000109,Value
p0000008,v0000110,Value
p0000005,v0000126,Value
p0000016,v0000127,Value
p0000009,v0000041,Value
p0000001,v0000042,Value
p0000005,v0000043,Value
p0000002,v0000044,Value
p0000009,v0000045,Value
p0000005,v0000046,Value
p0000011,v0000047,Value
p0000005,v0000049,Value
p0000001,v0000050,Value
